subject,predicate,object,confidence,source
Sequential_Decision,is_instance_of,Paradigm,1.0,manual
Divide_and_Conquer,is_instance_of,Paradigm,1.0,manual
Probabilistic_Inference,is_instance_of,Paradigm,1.0,analysis
Reinforcement_Learning,is_instance_of,Paradigm,1.0,analysis
Attention_Mechanism,is_instance_of,Paradigm,1.0,analysis
Representation_Learning,is_instance_of,Paradigm,1.0,analysis
Heuristic_Search,is_instance_of,Paradigm,1.0,analysis
Planning,is_instance_of,Paradigm,1.0,analysis
Path_Ranking_Algorithm,is_instance_of,Algorithm,1.0,analysis
Monte_Carlo_Tree_Search,is_instance_of,Algorithm,1.0,analysis
GNN_Attention_Reasoning,is_instance_of,Algorithm,1.0,analysis
MINERVA,is_instance_of,Algorithm,1.0,manual
GRAIL,is_instance_of,Algorithm,1.0,manual
GNN_RL,is_instance_of,Algorithm,1.0,analysis
NeuralLP,is_instance_of,Algorithm,1.0,analysis
Ant_Colony,is_instance_of,Algorithm,1.0,manual
Greedy_Search,is_instance_of,Algorithm,1.0,manual
Random_Walk_Sampling,is_instance_of,Algorithm,1.0,analysis
Information_Bottleneck,is_instance_of,Technique,1.0,analysis
Pruning,is_instance_of,Technique,1.0,manual
RL_Agent_Pruning_Strategy,is_instance_of,Technique,1.0,analysis
Embedding_Compression,is_instance_of,Technique,1.0,analysis
Approximate_Computing,is_instance_of,Technique,1.0,manual
Incremental_Computing,is_instance_of,Technique,1.0,manual
Graph_Reinforcement_Learning,is_instance_of,Framework,1.0,manual
Graph_Neural_Network,is_instance_of,Framework,1.0,manual
Graph_Contrastive_Learning,is_instance_of,Framework,1.0,manual
Graph_Sparse_Reasoning,is_instance_of,Task,1.0,manual
Relation_Prediction,is_instance_of,Task,1.0,analysis
Game_AI_Reasoning,is_instance_of,Task,1.0,analysis
Node_Classification,is_instance_of,Task,1.0,analysis
Complex_KG_QA,is_instance_of,Task,1.0,analysis
PreSampling_LargeKG,is_instance_of,Task,1.0,analysis
Compute_Reduction,is_instance_of,Metric,1.0,manual
Accuracy_Retention,is_instance_of,Metric,1.0,manual
Relation_Confidence,is_instance_of,Metric,1.0,analysis
Decision_Path,is_instance_of,Metric,1.0,analysis
High_Explainability,is_instance_of,Metric,1.0,analysis
Path_Explosion,is_instance_of,Metric,1.0,analysis
Goal_Directed_Exploration,is_instance_of,Metric,1.0,analysis
High_Compute_Cost,is_instance_of,Metric,1.0,analysis
Efficient_End2End,is_instance_of,Metric,1.0,analysis
Low_Explainability,is_instance_of,Metric,1.0,analysis
Complex_Strategy_Learning,is_instance_of,Metric,1.0,analysis
Sparse_Reward,is_instance_of,Metric,1.0,analysis
Ultra_Low_Cost,is_instance_of,Metric,1.0,analysis
Low_Result_Quality,is_instance_of,Metric,1.0,analysis
Graph_Sparse_Reasoning,has_algorithm,MINERVA,1.0,manual
Graph_Sparse_Reasoning,has_algorithm,GRAIL,1.0,manual
Graph_Sparse_Reasoning,has_algorithm,NeuralLP,1.0,manual
Graph_Sparse_Reasoning,has_algorithm,Path_Ranking_Algorithm,0.9,analysis
Graph_Sparse_Reasoning,has_algorithm,Monte_Carlo_Tree_Search,0.8,analysis
MINERVA,uses_paradigm,Reinforcement_Learning,1.0,manual
GRAIL,uses_paradigm,Heuristic_Search,1.0,manual
NeuralLP,uses_paradigm,Sequential_Decision,1.0,manual
Path_Ranking_Algorithm,uses_paradigm,Sequential_Decision,0.9,analysis
Path_Ranking_Algorithm,uses_paradigm,Probabilistic_Inference,0.8,analysis
Monte_Carlo_Tree_Search,uses_paradigm,Planning,1.0,analysis
GNN_Attention_Reasoning,uses_paradigm,Representation_Learning,0.9,analysis
GNN_RL,uses_paradigm,Reinforcement_Learning,1.0,analysis
Ant_Colony,uses_paradigm,Sequential_Decision,0.9,manual
Greedy_Search,uses_paradigm,Sequential_Decision,1.0,manual
Random_Walk_Sampling,uses_paradigm,Sequential_Decision,0.9,analysis
NeuralLP,builds_on,Graph_Neural_Network,1.0,manual
GNN_Attention_Reasoning,builds_on,Graph_Neural_Network,1.0,analysis
GNN_RL,builds_on,Graph_Reinforcement_Learning,1.0,analysis
Graph_Reinforcement_Learning,builds_on,Graph_Neural_Network,1.0,manual
Graph_Contrastive_Learning,builds_on,Graph_Neural_Network,1.0,manual
Divide_and_Conquer,builds_on,Graph_Reinforcement_Learning,0.7,manual
Approximate_Computing,builds_on,Graph_Neural_Network,0.8,manual
Incremental_Computing,builds_on,Graph_Contrastive_Learning,0.8,manual
RL_Agent_Pruning_Strategy,implements,Pruning,1.0,analysis
RL_Agent_Pruning_Strategy,builds_on,Graph_Reinforcement_Learning,1.0,analysis
RL_Agent_Pruning_Strategy,reduces_computation_by,90%,1.0,analysis
RL_Agent_Pruning_Strategy,maintains_accuracy,98%,1.0,analysis
RL_Agent_Pruning_Strategy,uses_paradigm,Sequential_Decision,1.0,analysis
Embedding_Compression,reduces_computation_by,40%,0.9,analysis
Information_Bottleneck,implements,Embedding_Compression,0.8,analysis
MINERVA,is_graph_RL,True,1.0,manual
GRAIL,is_graph_RL,False,1.0,manual
GNN_RL,is_graph_RL,True,1.0,analysis
Path_Ranking_Algorithm,is_graph_RL,False,0.9,analysis
Monte_Carlo_Tree_Search,is_graph_RL,True,1.0,analysis
GNN_Attention_Reasoning,is_graph_RL,False,0.9,analysis
NeuralLP,is_sequential_decision,True,1.0,manual
MINERVA,is_sequential_decision,True,1.0,manual
Sequential_Decision,is_sequential_decision,True,1.0,manual
Greedy_Search,uses_heuristic,True,1.0,manual
Random_Walk_Sampling,is_graph_RL,False,1.0,analysis
Random_Walk_Sampling,is_sequential_decision,True,1.0,analysis
Random_Walk_Sampling,uses_heuristic,False,0.9,analysis
Path_Ranking_Algorithm,used_in,Relation_Prediction,0.9,analysis
Monte_Carlo_Tree_Search,used_in,Game_AI_Reasoning,1.0,analysis
GNN_Attention_Reasoning,used_in,Node_Classification,0.9,analysis
GNN_RL,used_in,Complex_KG_QA,0.9,analysis
MINERVA,used_in,Complex_KG_QA,0.8,analysis
Random_Walk_Sampling,used_in,PreSampling_LargeKG,0.9,analysis
Path_Ranking_Algorithm,has_advantage,High_Explainability,0.9,analysis
Path_Ranking_Algorithm,has_challenge,Path_Explosion,0.9,analysis
Monte_Carlo_Tree_Search,has_advantage,Goal_Directed_Exploration,0.9,analysis
Monte_Carlo_Tree_Search,has_challenge,High_Compute_Cost,0.8,analysis
GNN_Attention_Reasoning,has_advantage,Efficient_End2End,0.9,analysis
GNN_Attention_Reasoning,has_challenge,Low_Explainability,0.8,analysis
GNN_RL,has_advantage,Complex_Strategy_Learning,0.9,analysis
GNN_RL,has_challenge,Sparse_Reward,0.8,analysis
Random_Walk_Sampling,has_advantage,Ultra_Low_Cost,0.9,analysis
Random_Walk_Sampling,has_challenge,Low_Result_Quality,0.8,analysis
PRA,calculates,Relation_Confidence,0.9,analysis
Attention_Weights,explains,Decision_Path,0.8,analysis 
